Date,Time,Temp (°F),RH (%)
9/12/22,2300,61.8,80
9/12/22,2200,64.5,73
9/12/22,2100,66.2,67
9/12/22,2000,67.3,64
9/12/22,1900,68.9,61
9/12/22,1800,73.4,50
9/12/22,1700,76.8,40
9/12/22,1600,78.6,38
9/12/22,1500,78.8,44
9/12/22,1400,76.3,57
9/12/22,1300,73.4,67
9/12/22,1200,73.9,64
9/12/22,1100,72.2,68
9/12/22,1000,69.1,75
9/12/22,0900,67,74
9/12/22,0800,64.8,78
9/12/22,0700,63.7,74
9/12/22,0600,63.7,76
9/12/22,0500,64.5,77
9/12/22,0400,65.7,76
9/12/22,0300,65.5,76
9/12/22,0200,66.2,83
9/12/22,0100,66.6,81
9/12/22,0000,66.8,78
9/11/22,2300,67.4,80
9/11/22,2200,67.6,74
9/11/22,2100,71.2,63
9/11/22,2000,75.1,48
9/11/22,1900,79.7,40
9/11/22,1800,80.8,45
9/11/22,1700,80,50
9/11/22,1600,78.2,55
9/11/22,1500,76.5,60
9/11/22,1400,76.7,61
9/11/22,1300,75.4,65
9/11/22,1200,74.4,69
9/11/22,1100,73.1,74
9/11/22,1000,70.9,78
9/11/22,0900,69.1,83
9/11/22,0800,67.7,86
9/11/22,0700,67.3,86
9/11/22,0600,67.1,86
9/11/22,0500,67.1,86
9/11/22,0400,67.7,82
9/11/22,0300,67.5,84
9/11/22,0200,68,84
9/11/22,0100,68.6,84
9/11/22,0000,69,81
9/10/22,2300,69,80
9/10/22,2200,68.9,82
9/10/22,2100,70.4,79
9/10/22,2000,76.2,65
9/10/22,1900,78.2,63
9/10/22,1800,78.2,65
9/10/22,1700,77.4,67
9/10/22,1600,78.4,64
9/10/22,1500,78.5,63
9/10/22,1400,76.3,64
9/10/22,1300,75.5,63
9/10/22,1200,74.6,64
9/10/22,1100,71.7,70
9/10/22,1000,68.3,78
9/10/22,0900,64.9,86
9/10/22,0800,61.4,92
9/10/22,0700,61,92
9/10/22,0600,60.8,92
9/10/22,0500,61.6,91
9/10/22,0400,62.4,90
9/10/22,0300,62.5,90
9/10/22,0200,61.5,91
9/10/22,0100,62.3,90
9/10/22,0000,65.2,84
9/9/22,2300,66.8,80
9/9/22,2200,67.6,79
9/9/22,2100,69.6,72
9/9/22,2000,71.2,68
9/9/22,1900,75.7,60
9/9/22,1800,79.3,54
9/9/22,1700,81.7,49
9/9/22,1600,84.3,44
9/9/22,1500,84.4,45
9/9/22,1400,83.1,50
9/9/22,1300,83.1,52
9/9/22,1200,79.7,56
9/9/22,1100,76.3,60
9/9/22,1000,71.4,68
9/9/22,0900,66.3,79
9/9/22,0800,60.3,88
9/9/22,0700,58.9,90
9/9/22,0600,60.2,88
9/9/22,0500,61.1,88
9/9/22,0400,63,86
9/9/22,0300,64.7,84
9/9/22,0200,67.7,76
9/9/22,0100,69.1,75
9/9/22,0000,69.2,77
9/8/22,2300,70.4,74
9/8/22,2200,74.4,65
9/8/22,2100,79,57
9/8/22,2000,88.5,44
9/8/22,1900,94.7,34
9/8/22,1800,94.2,33
9/8/22,1700,98.9,26
9/8/22,1600,99.2,25
9/8/22,1500,99,27
9/8/22,1400,97.6,26
9/8/22,1300,94.7,27
9/8/22,1200,90.1,41
9/8/22,1100,85.1,50
9/8/22,1000,79.3,60
9/8/22,0900,72.4,65
9/8/22,0800,64,67
9/8/22,0700,61.9,73
9/8/22,0600,62.1,75
9/8/22,0500,63,73
9/8/22,0400,63.4,75
9/8/22,0300,64.1,77
9/8/22,0200,65.6,78
9/8/22,0100,66.5,80
9/8/22,0000,68.1,81
9/7/22,2300,69.5,81
9/7/22,2200,71.4,78
9/7/22,2100,74.8,68
9/7/22,2000,77.9,59
9/7/22,1900,85.3,44
9/7/22,1800,92.3,32
9/7/22,1700,93.1,30
9/7/22,1600,91.2,35
9/7/22,1500,90,39
9/7/22,1400,88.8,38
9/7/22,1300,86.5,45
9/7/22,1200,82.5,53
9/7/22,1100,78.4,62
9/7/22,1000,75.1,67
9/7/22,0900,70.9,73
9/7/22,0800,64.5,80
9/7/22,0700,62.6,82
9/7/22,0600,62.9,81
9/7/22,0500,63.7,80
9/7/22,0400,64.7,79
9/7/22,0300,66.2,76
9/7/22,0200,68.1,75
9/7/22,0100,68.2,75
9/7/22,0000,69.8,73
